algo,arch_config,model_config,phase,dataset,expert_grouping,num_expert_group,batch_per_chip,density_factor,token_routing_algo,comp_tput_to_mem_bw_ratio,avg_time_ms,avg_copy_ms,avg_experts,total_batches
eplb,GPU16.yaml,deepseek-v3.yaml,decode,gsm8k,eplb,16,32,1.5,mem_bound_baseline,562.5,0.0,0.0,23.7625,400
cpu_max_flow,GPU8.yaml,qwen.yaml,decode,humaneval,eplb,8,32,1.125,mem_bound_baseline,562.5,0.08790709749999996,0.026746880183927714,9.8275,400
gpu_max_flow,GPU8.yaml,qwen.yaml,decode,humaneval,eplb,8,32,1.125,mem_bound_baseline,562.5,0.043031040523201225,0.028251360007561743,9.8275,400
gpu_greedy_lock,GPU8.yaml,qwen.yaml,decode,humaneval,eplb,8,32,1.125,mem_bound_baseline,562.5,0.0023811499999999977,0.012871680220123381,9.8325,400
eplb,GPU8.yaml,qwen.yaml,decode,humaneval,eplb,8,32,1.125,mem_bound_baseline,562.5,0.0,0.0,11.9825,400
cpu_max_flow,GPU8.yaml,qwen.yaml,decode,humaneval,eplb,8,32,1.25,mem_bound_baseline,562.5,0.08773462500000001,0.026204160349443555,9.9225,400
gpu_max_flow,GPU8.yaml,qwen.yaml,decode,humaneval,eplb,8,32,1.25,mem_bound_baseline,562.5,0.04263424096629023,0.028104959982447327,9.9225,400
gpu_greedy_lock,GPU8.yaml,qwen.yaml,decode,humaneval,eplb,8,32,1.25,mem_bound_baseline,562.5,0.0026545049999999993,0.012915200192946941,9.9575,400
eplb,GPU8.yaml,qwen.yaml,decode,humaneval,eplb,8,32,1.25,mem_bound_baseline,562.5,0.0,0.0,13.43,400
cpu_max_flow,GPU8.yaml,qwen.yaml,decode,humaneval,eplb,8,32,1.375,mem_bound_baseline,562.5,0.09631211499999993,0.02795008001383394,9.395,400
gpu_max_flow,GPU8.yaml,qwen.yaml,decode,humaneval,eplb,8,32,1.375,mem_bound_baseline,562.5,0.04341760051436722,0.02861951997503638,9.395,400
gpu_greedy_lock,GPU8.yaml,qwen.yaml,decode,humaneval,eplb,8,32,1.375,mem_bound_baseline,562.5,0.0028420700000000017,0.012961280192248523,9.465,400
eplb,GPU8.yaml,qwen.yaml,decode,humaneval,eplb,8,32,1.375,mem_bound_baseline,562.5,0.0,0.0,14.99,400
cpu_max_flow,GPU8.yaml,qwen.yaml,decode,humaneval,eplb,8,32,1.5,mem_bound_baseline,562.5,0.09842483000000002,0.027868160060606897,9.4575,400
gpu_max_flow,GPU8.yaml,qwen.yaml,decode,humaneval,eplb,8,32,1.5,mem_bound_baseline,562.5,0.04353536032140255,0.028718240004964174,9.4575,400
gpu_greedy_lock,GPU8.yaml,qwen.yaml,decode,humaneval,eplb,8,32,1.5,mem_bound_baseline,562.5,0.0029761825000000014,0.013232640109490603,9.4625,400
eplb,GPU8.yaml,qwen.yaml,decode,humaneval,eplb,8,32,1.5,mem_bound_baseline,562.5,0.0,0.0,16.22,400
cpu_max_flow,GPU8.yaml,qwen.yaml,decode,gsm8k,eplb,8,32,1.125,mem_bound_baseline,562.5,0.12157669999999995,0.026823680102825164,13.1775,400
gpu_max_flow,GPU8.yaml,qwen.yaml,decode,gsm8k,eplb,8,32,1.125,mem_bound_baseline,562.5,0.0475520005915314,0.028864479968324305,13.1775,400
gpu_greedy_lock,GPU8.yaml,qwen.yaml,decode,gsm8k,eplb,8,32,1.125,mem_bound_baseline,562.5,0.002672849999999999,0.012986880177631974,13.1825,400
eplb,GPU8.yaml,qwen.yaml,decode,gsm8k,eplb,8,32,1.125,mem_bound_baseline,562.5,0.0,0.0,15.495,400
cpu_max_flow,GPU8.yaml,qwen.yaml,decode,gsm8k,eplb,8,32,1.25,mem_bound_baseline,562.5,0.12666500499999991,0.026736640124581754,12.9525,400
gpu_max_flow,GPU8.yaml,qwen.yaml,decode,gsm8k,eplb,8,32,1.25,mem_bound_baseline,562.5,0.04650240127928555,0.028662240034900605,12.9525,400
gpu_greedy_lock,GPU8.yaml,qwen.yaml,decode,gsm8k,eplb,8,32,1.25,mem_bound_baseline,562.5,0.0031007075000000026,0.013063680157065391,12.965,400
eplb,GPU8.yaml,qwen.yaml,decode,gsm8k,eplb,8,32,1.25,mem_bound_baseline,562.5,0.0,0.0,17.4675,400
cpu_max_flow,GPU8.yaml,qwen.yaml,decode,gsm8k,eplb,8,32,1.375,mem_bound_baseline,562.5,0.1311606700000001,0.027514879987575114,12.74,400
gpu_max_flow,GPU8.yaml,qwen.yaml,decode,gsm8k,eplb,8,32,1.375,mem_bound_baseline,562.5,0.047741440143436197,0.028717600028030574,12.74,400
gpu_greedy_lock,GPU8.yaml,qwen.yaml,decode,gsm8k,eplb,8,32,1.375,mem_bound_baseline,562.5,0.003288442499999998,0.013045760204549879,12.7525,400
eplb,GPU8.yaml,qwen.yaml,decode,gsm8k,eplb,8,32,1.375,mem_bound_baseline,562.5,0.0,0.0,19.365,400
cpu_max_flow,GPU8.yaml,qwen.yaml,decode,gsm8k,eplb,8,32,1.5,mem_bound_baseline,562.5,0.1346811625,0.027525119981728494,12.67,400
gpu_max_flow,GPU8.yaml,qwen.yaml,decode,gsm8k,eplb,8,32,1.5,mem_bound_baseline,562.5,0.048138239653781056,0.02991215998772532,12.67,400
gpu_greedy_lock,GPU8.yaml,qwen.yaml,decode,gsm8k,eplb,8,32,1.5,mem_bound_baseline,562.5,0.003465927500000003,0.013539840085431933,12.675,400
eplb,GPU8.yaml,qwen.yaml,decode,gsm8k,eplb,8,32,1.5,mem_bound_baseline,562.5,0.0,0.0,21.4875,400
