Breakdown seq=39 rank=2 layer=12 M=1 attention_ns=121856 gating_ns=29696 routing_ns=6144 dispatch_ns=46080 expert_ns=27648 combine_ns=159744
Breakdown seq=40 rank=2 layer=13 M=1 attention_ns=120832 gating_ns=30720 routing_ns=7168 dispatch_ns=44032 expert_ns=27648 combine_ns=148480
Breakdown seq=41 rank=2 layer=14 M=1 attention_ns=120832 gating_ns=29696 routing_ns=6144 dispatch_ns=46080 expert_ns=86016 combine_ns=126976
Breakdown seq=42 rank=2 layer=15 M=1 attention_ns=119808 gating_ns=29696 routing_ns=6144 dispatch_ns=47104 expert_ns=86016 combine_ns=92160
Breakdown seq=43 rank=2 layer=16 M=1 attention_ns=119808 gating_ns=29696 routing_ns=5120 dispatch_ns=49152 expert_ns=27648 combine_ns=188416
Breakdown seq=44 rank=2 layer=17 M=1 attention_ns=120832 gating_ns=29696 routing_ns=7168 dispatch_ns=48128 expert_ns=84992 combine_ns=96256
Breakdown seq=45 rank=2 layer=18 M=1 attention_ns=119808 gating_ns=30720 routing_ns=7168 dispatch_ns=49152 expert_ns=120832 combine_ns=101376
Breakdown seq=46 rank=2 layer=19 M=1 attention_ns=119808 gating_ns=30720 routing_ns=5120 dispatch_ns=46080 expert_ns=27648 combine_ns=188416
Breakdown seq=47 rank=2 layer=20 M=1 attention_ns=120832 gating_ns=29696 routing_ns=5120 dispatch_ns=44032 expert_ns=27648 combine_ns=187392
Breakdown seq=48 rank=2 layer=21 M=1 attention_ns=121856 gating_ns=30720 routing_ns=6144 dispatch_ns=52224 expert_ns=78848 combine_ns=133120
Breakdown seq=49 rank=2 layer=22 M=1 attention_ns=120832 gating_ns=29696 routing_ns=7168 dispatch_ns=45056 expert_ns=26624 combine_ns=155648
Breakdown seq=50 rank=2 layer=23 M=1 attention_ns=121856 gating_ns=29696 routing_ns=6144 dispatch_ns=50176 expert_ns=77824 combine_ns=102400
Breakdown seq=51 rank=2 layer=24 M=1 attention_ns=120832 gating_ns=30720 routing_ns=6144 dispatch_ns=45056 expert_ns=26624 combine_ns=153600
Breakdown seq=52 rank=2 layer=25 M=1 attention_ns=121856 gating_ns=29696 routing_ns=6144 dispatch_ns=47104 expert_ns=77824 combine_ns=135168
Breakdown seq=53 rank=2 layer=26 M=1 attention_ns=119808 gating_ns=31744 routing_ns=6144 dispatch_ns=43008 expert_ns=27648 combine_ns=191488
Breakdown seq=54 rank=2 layer=0 M=1 attention_ns=65536 gating_ns=30720 routing_ns=6144 dispatch_ns=138240 expert_ns=26624 combine_ns=186368
Breakdown seq=55 rank=2 layer=1 M=1 attention_ns=119808 gating_ns=30720 routing_ns=7168 dispatch_ns=49152 expert_ns=77824 combine_ns=104448
Breakdown seq=56 rank=2 layer=2 M=1 attention_ns=119808 gating_ns=30720 routing_ns=7168 dispatch_ns=44032 expert_ns=112640 combine_ns=95232
Breakdown seq=57 rank=2 layer=3 M=1 attention_ns=118784 gating_ns=29696 routing_ns=6144 dispatch_ns=53248 expert_ns=77824 combine_ns=106496
Breakdown seq=58 rank=2 layer=4 M=1 attention_ns=120832 gating_ns=29696 routing_ns=6144 dispatch_ns=48128 expert_ns=78848 combine_ns=101376
Breakdown seq=59 rank=2 layer=5 M=1 attention_ns=120832 gating_ns=30720 routing_ns=7168 dispatch_ns=47104 expert_ns=78848 combine_ns=102400
Breakdown seq=60 rank=2 layer=6 M=1 attention_ns=122880 gating_ns=29696 routing_ns=5120 dispatch_ns=49152 expert_ns=78848 combine_ns=103424
Breakdown seq=61 rank=2 layer=7 M=1 attention_ns=120832 gating_ns=30720 routing_ns=5120 dispatch_ns=50176 expert_ns=78848 combine_ns=90112
Breakdown seq=62 rank=2 layer=8 M=1 attention_ns=120832 gating_ns=29696 routing_ns=6144 dispatch_ns=51200 expert_ns=78848 combine_ns=104448
